Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-05-17,Tremors,1990,https://boxd.it/19fBpr,1.5,,"w/ myself, @ home, netflix",2020-05-17
2020-05-17,Fantastic Four,2015,https://boxd.it/19gyOZ,1.5,Yes,"w/ myself, @ home, sparrow",2020-05-17
2020-05-18,John Wick,2014,https://boxd.it/19pv9H,3,,"w/dad, @ home, prime",2020-05-18
2020-05-19,Train to Busan,2016,https://boxd.it/19u1Vh,4.5,,"w/ myself, @ home, netflix, foreign",2020-05-19
2020-05-21,Kick-Ass 2,2013,https://boxd.it/19IrRj,1.5,,"w/ myself, @ home, sparrow",2020-05-21
2020-05-24,Scoob!,2020,https://boxd.it/1a3Xel,2,,"w/ myself, @ home, sparrow",2020-05-24
2020-05-25,Mad Max: Fury Road,2015,https://boxd.it/1aeCuJ,4.5,,"w/ myself, @ home, sparrow",2020-05-24
2020-05-26,Whiplash,2014,https://boxd.it/1akP7v,4.5,Yes,"w/ myself, @ home, sparrow",2020-05-26
2020-06-01,Creep,2014,https://boxd.it/1b2dKH,4,,"w/ myself, @ home, netflix",2020-06-01
2020-06-02,The Autopsy of Jane Doe,2016,https://boxd.it/1b4NW9,3,,"w/ myself, @ home, netflix",2020-06-02
2020-06-03,Eighth Grade,2018,https://boxd.it/1bdd7x,4,Yes,"w/ myself, @ home, sparrow",2020-06-03
2020-06-06,Middle School: The Worst Years of My Life,2016,https://boxd.it/1bsD5d,3,,"w/ myself, @ home, netflix",2020-06-06
2020-06-07,Creep 2,2017,https://boxd.it/1bzfRV,3,,"w/ myself, @ home, netflix",2020-06-07
2020-06-08,Star Wars: The Rise of Skywalker,2019,https://boxd.it/1bJWz1,3,Yes,"w/ myself, @ home, disney+",2020-06-08
2020-06-08,Con Air,1997,https://boxd.it/1bLP5x,2.5,,"w/dad, @ home, prime",2020-06-08
2020-06-09,The Other Guys,2010,https://boxd.it/1bT5xL,3.5,,"w/ myself, @ home, netflix",2020-06-09
2020-06-10,Sully,2016,https://boxd.it/1bWRdF,4.5,,"w/ myself, @ home, sparrow",2020-06-10
2020-06-11,Dolittle,2020,https://boxd.it/1c3J8B,1.5,,"w/ myself, @ home, sparrow",2020-06-11
2020-06-12,War of the Worlds,2005,https://boxd.it/1cb0el,3,,"w/ myself, @ home, sparrow",2020-06-12
2020-06-13,The Terminal,2004,https://boxd.it/1cfwU7,3.5,,"w/ myself, @ home, sparrow",2020-06-13
2020-06-13,Artemis Fowl,2020,https://boxd.it/1chgur,1.5,,"w/ myself, @ home, disney+",2020-06-13
2020-06-16,The Silence of the Lambs,1991,https://boxd.it/1cBjdj,4,,"w/ michael, @ michael's",2020-06-16
2020-06-21,Spider-Man,2002,https://boxd.it/1d3LX1,3.5,Yes,"w/ myself, @ home, sparrow",2020-06-21
2020-06-21,Spider-Man 2,2004,https://boxd.it/1d6KJX,3.5,Yes,"w/ myself, @ home, sparrow",2020-06-21
2020-06-23,Speed,1994,https://boxd.it/1dgtk7,3,,"w/ myself, @ home, sparrow",2020-06-23
2020-06-23,7500,2019,https://boxd.it/1djuut,2,,"w/dad, @ home, prime",2020-06-23
2020-06-25,The Amazing Spider-Man,2012,https://boxd.it/1dvaRB,3,Yes,"w/ myself, @ home, sparrow",2020-06-25
2020-06-26,The Amazing Spider-Man 2,2014,https://boxd.it/1dz8XP,3,Yes,"w/ myself, @ home, sparrow",2020-06-26
2020-06-26,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1dzFUf,4,Yes,"w/ myself, @ home, netflix",2020-06-26
2020-06-27,Jurassic Park,1993,https://boxd.it/1dFUDF,4,Yes,"w/ michael, drive-in",2020-06-27
2020-06-29,The Terminator,1984,https://boxd.it/1dTcs7,3,,"w/ myself, @ home, sparrow",2020-06-29
2020-06-30,Terminator 2: Judgment Day,1991,https://boxd.it/1dZh2v,4,,"w/ myself, @ home, sparrow",2020-06-30
2020-06-30,The Lego Movie,2014,https://boxd.it/1e0BXX,4.5,Yes,"w/ myself, @ home, prime",2020-06-30
2020-07-01,My Spy,2020,https://boxd.it/1e39FH,2.5,,"w/ myself, @ home, prime",2020-07-01
2020-07-01,The King of Staten Island,2020,https://boxd.it/1e4WmB,4,,"w/ myself, @ home, sparrow",2020-07-01
2020-07-03,Sharknado,2013,https://boxd.it/1eiko3,1,,"w/ myself, @ home, prime",2020-07-03
2020-07-04,Sharknado 2: The Second One,2014,https://boxd.it/1ekAMz,2,,"w/ myself, @ home, prime",2020-07-04
2020-07-05,Zodiac,2007,https://boxd.it/1eqvB9,4.5,Yes,"w/ myself, in car, netflix",2020-07-04
2020-07-05,Good Time,2017,https://boxd.it/1eux0d,3.5,,"w/ myself, in car, on vacation, netflix",2020-07-04
2020-07-07,Dinner for Schmucks,2010,https://boxd.it/1eKaOB,1.5,,"w/rigg, w/ kyle, w/ jack, w/ sarah, on vacation, netflix",2020-07-07
2020-07-10,Spaceballs,1987,https://boxd.it/1eYALr,3,Yes,"w/rigg, w/ kyle, w/ jack, w/ sarah, on vacation, netflix",2020-07-09
2020-07-11,You Don't Mess with the Zohan,2008,https://boxd.it/1f3w6J,2,,"w/rigg, w/ kyle, w/ jack, w/ sarah, on vacation, netflix",2020-07-10
2020-07-11,Airplane!,1980,https://boxd.it/1f9QtZ,2.5,Yes,"w/rigg, w/ kyle, w/ jack, w/ sarah, on vacation, netflix",2020-07-11
2020-07-12,Enemy,2013,https://boxd.it/1faEJD,3.5,,"w/ myself, in car, netflix",2020-07-11
2020-07-12,Panic Room,2002,https://boxd.it/1fcQqx,4,,"w/ myself, in car, prime",2020-07-12
2020-07-12,United 93,2006,https://boxd.it/1fecjP,4,,"w/ myself, @ home, sparrow",2020-07-12
2020-07-13,Flightplan,2005,https://boxd.it/1fiZuP,3,,"w/ myself, @ home, sparrow",2020-07-13
2020-07-13,Palm Springs,2020,https://boxd.it/1fnxwD,3,,"w/ myself, @ home, sparrow",2020-07-13
2020-07-14,Captain Phillips,2013,https://boxd.it/1fun8F,3.5,,"w/dad, @ home, prime, w/mom",2020-07-14
2020-07-18,Batman: Mask of the Phantasm,1993,https://boxd.it/1fPnRH,2.5,,"w/ myself, @ home, netflix",2020-07-18
2020-07-19,Gladiator,2000,https://boxd.it/1fYqVl,3.5,,"w/dad, @ home, dvd",2020-07-19
2020-07-19,The Half of It,2020,https://boxd.it/1fYssl,3,,"w/ myself, @ home, netflix",2020-07-19
2020-07-19,Megamind,2010,https://boxd.it/1g0kVX,4,Yes,"w/ myself, @ home, prime",2020-07-19
2020-07-20,The Usual Suspects,1995,https://boxd.it/1g3Vab,3.5,,"w/ myself, @ home, sparrow",2020-07-20
2020-07-22,Psych 2: Lassie Come Home,2020,https://boxd.it/1ghbfR,3,,"w/ myself, @ home, sparrow",2020-07-22
2020-07-22,Clueless,1995,https://boxd.it/1gjML5,4,,"w/ myself, @ home, netflix",2020-07-22
2020-07-23,Scott Pilgrim vs. the World,2010,https://boxd.it/1gnONv,4,Yes,"w/ myself, @ home, netflix",2020-07-23
2020-07-23,The Lobster,2015,https://boxd.it/1gpS8Z,3.5,,"w/ myself, @ home, netflix",2020-07-23
2020-07-26,Diary of a Wimpy Kid,2010,https://boxd.it/1gFQ4N,3,Yes,"w/ myself, @ home, disney+",2020-07-26
2020-07-26,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/1gHDYx,3,Yes,"w/ myself, @ home, disney+",2020-07-26
2020-07-26,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/1gHKJz,3.5,Yes,"w/ myself, @ home, disney+",2020-07-26
2020-07-27,Diary of a Wimpy Kid: The Long Haul,2017,https://boxd.it/1gQexz,1.5,Yes,"w/ myself, @ home, disney+",2020-07-27
2020-07-28,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/1gTzQ9,3.5,,"w/ myself, @ home, disney+",2020-07-28
2020-07-28,The Wolf of Wall Street,2013,https://boxd.it/1gVWCN,3.5,,"w/ myself, @ home, sparrow",2020-07-28
2020-07-29,Best in Show,2000,https://boxd.it/1gZvWT,3,,"w/dad, @ home, prime",2020-07-28
2020-07-29,The Hunt,2020,https://boxd.it/1h1qeL,2.5,,"w/ myself, @ home, sparrow",2020-07-29
2020-07-30,Chef,2014,https://boxd.it/1h54v9,3.5,,"w/ myself, @ home, sparrow",2020-07-30
2020-08-05,As Good as It Gets,1997,https://boxd.it/1hGDxX,3,,"w/ michael, on vacation, prime",2020-08-04
2020-08-05,Life of Pi,2012,https://boxd.it/1hHzSf,4,Yes,"w/ michael, on vacation, prime",2020-08-04
2020-08-07,Jackass 3.5,2011,https://boxd.it/1hVM59,1,,"w/ myself, @ home, sparrow",2020-08-07
2020-08-08,Mission: Impossible - Rogue Nation,2015,https://boxd.it/1i07Zl,3.5,Yes,"w/ myself, @ home, prime",2020-08-08
2020-08-08,Get Out,2017,https://boxd.it/1i0vvJ,4,,"w/ myself, @ home, sparrow",2020-08-08
2020-08-10,Die Hard,1988,https://boxd.it/1ih1Wz,4,,"w/dad, w/rigg, @ home, vcr",2020-08-10
2020-08-12,Twilight,2008,https://boxd.it/1iuihf,1,,"w/ myself, @ home, prime",2020-08-12
2020-08-13,The Muppets,2011,https://boxd.it/1iAtHZ,4,Yes,"w/ myself, @ home, disney+",2020-08-13
2020-08-14,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/1iDVyR,3.5,,"w/ myself, in car, disney+",2020-08-13
2020-08-14,Pirates of the Caribbean: At World's End,2007,https://boxd.it/1iGq2r,3.5,Yes,"w/ myself, in car, disney+",2020-08-13
2020-08-14,Sing,2016,https://boxd.it/1iGZ9H,3,Yes,"w/rigg, w/ maris, on vacation, dvd",2020-08-13
2020-08-15,Alvin and the Chipmunks: The Road Chip,2015,https://boxd.it/1iMCeB,1,Yes,"w/rigg, w/ maris, on vacation, dvd",2020-08-14
2020-08-17,Despicable Me 2,2013,https://boxd.it/1iWxi9,3,Yes,"w/rigg, w/ maris, on vacation, dvd",2020-08-16
2020-08-17,Alice in Wonderland,2010,https://boxd.it/1j0dtf,2,,"w/ myself, on vacation, disney+",2020-08-17
2020-08-17,The Incredibles,2004,https://boxd.it/1j0fOT,4,Yes,"w/ myself, @ home, disney+",2020-08-17
2020-08-17,Project Power,2020,https://boxd.it/1j0j2T,3,,"w/ myself, in car, netflix",2020-08-17
2020-08-22,Incredibles 2,2018,https://boxd.it/1jrUoL,4.5,Yes,"w/ myself, in car, disney+",2020-08-22
2020-08-22,Parasite,2019,https://boxd.it/1jv0rR,4.5,Yes,"w/ michael, w/ will, w/ john, w/ ryan, w/ micah, w/ ben, w/ trevor, @ home, prime",2020-08-22
2020-08-24,Grown Ups,2010,https://boxd.it/1jJdKP,1,,"w/ myself, @ home, sparrow",2020-08-24
2020-08-25,Grown Ups,2010,https://boxd.it/1jPBKL,0.5,Yes,"w/ will, w/ michael, on demand, w/ ben, w/ john, w/ trevor, w/ micah, w/ ryan, @ will's",2020-08-25
2020-08-25,Grown Ups 2,2013,https://boxd.it/1jPC6x,2,Yes,"w/ myself, @ home, sparrow",2020-08-25
2020-08-27,Batman Begins,2005,https://boxd.it/1k1Bfn,3.5,Yes,"w/ myself, @ home, sparrow",2020-08-27
2020-08-27,The Dark Knight,2008,https://boxd.it/1k1DAd,4,Yes,"w/ myself, @ home, sparrow",2020-08-27
2020-08-27,The Dark Knight Rises,2012,https://boxd.it/1k1IiN,3.5,Yes,"w/ myself, @ home, sparrow",2020-08-27
2020-08-27,Shutter Island,2010,https://boxd.it/1k1KiZ,4,,"w/dad, @ home, prime",2020-08-27
2020-08-28,The Edge of Seventeen,2016,https://boxd.it/1k7tAf,3,Yes,"w/ myself, @ home, sparrow",2020-08-28
2020-08-30,The Founder,2016,https://boxd.it/1kgDPd,2.5,,"w/ myself, @ home, netflix",2020-08-30
2020-08-30,Booksmart,2019,https://boxd.it/1kgFcx,4,Yes,"w/ myself, @ home, sparrow",2020-08-30
2020-08-30,The Truman Show,1998,https://boxd.it/1kkOlB,4,Yes,"w/ myself, @ home, sparrow",2020-08-30
2020-08-30,Ace Ventura: Pet Detective,1994,https://boxd.it/1klje7,3,,"w/ myself, @ home, sparrow",2020-08-30
2020-09-01,Se7en,1995,https://boxd.it/1kAxXF,4,,"w/dad, @ home, prime",2020-09-01
2020-09-02,Spotlight,2015,https://boxd.it/1kFDM9,3.5,,"w/ myself, @ home, netflix",2020-09-02
2020-09-03,Project X,2012,https://boxd.it/1kJeqP,2,,"w/ myself, @ home, sparrow",2020-09-03
2020-09-03,"McFarland, USA",2015,https://boxd.it/1kJJkN,4,Yes,"w/ myself, @ home, sparrow",2020-09-03
2020-09-04,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1kR9jF,3,,"w/ myself, @ home, sparrow",2020-09-04
