Date,Content,Comment
2020-12-06,https://boxd.it/1uxV1T,"That’s all gtk. I definitely want to check out more of his stuff but THTJB is one of those movies you need take some time to think ab before going back into something so extreme. Man Chili’s has been on my watchlist for a while, perhaps I’ll check that one out next. As for the editing, I’m sure I’d become more used to it the more I see it, since this was the first of his ive seen, it really stood out to me."
2020-12-07,https://boxd.it/1uQO9T,I sent this to my friend who hates home alone
2020-12-09,https://boxd.it/1lS5vN,probably by actually jumping over sharks
2020-12-10,https://boxd.it/1veZFf,It was certainly a challenge. Being able to watch it in 1.5 speed really helped.
2020-12-14,https://boxd.it/1vt2m9,"Thomas where were you on the night of December 20, 1968"
2020-12-15,https://boxd.it/1vNkXR,coming 2 america is a horrible name for a sequel bc it sounds the exact same when you say it outloud
2020-12-18,https://boxd.it/1w8xSx,"I don't count down till Christmas, I count down to when I'll watch this movie wrapped in a blanket, with my dog, drinking peppermint hot chocolate. It's my yearly tradition for Christmas eve (the only time I watch it) and I look forward to it every year."
2020-12-18,https://boxd.it/1w8xSx,"Oh, it is. As the years have gone on and I've gotten less and less excited about the holidays, my excitement for that tradition has stayed the same"
2020-12-25,https://boxd.it/1x38y7,the perfect movie to watch on christmas
2020-12-31,https://boxd.it/1y2wH5,adam you only spoke one language in this review and it was straight facts
2021-01-08,https://boxd.it/1zoSYv,why the fuck is this loggable on letterboxd
2021-01-08,https://boxd.it/1zt2qV,Yo where'd you find this
2021-01-15,https://boxd.it/1AzqS1,change to a five
2021-01-30,https://boxd.it/1CI1rZ,spoiler tag this my man
2021-02-02,https://boxd.it/1Ay0JF,Ha ha thanks Ar
2021-02-02,https://boxd.it/1wcxgB,thanks landon
2021-02-03,https://boxd.it/VhFSZ,i shouldve known that year was gonna be shit
2021-02-03,https://boxd.it/1DpLmx,This movie would've been a lot better had Vince Vaughn not made out with a 17 y.o.
2021-02-03,https://boxd.it/1DpLmx,I saw this movie as a part of a date and let's just say that part didn't exactly relieve any tension between the two of us
2021-02-03,https://boxd.it/1DpLmx,wasn't the first time and won't be the last
2021-02-11,,im really hoping pandemic movies dont become a thing
2021-02-18,https://boxd.it/1xYn3n,that number was easily the best part
2021-02-19,https://boxd.it/1Fd8I9,"Hey man, I saw from your profile picture you go to Taylor Universtiy- I actually toured there in the fall and it was my second choice for college. Nuts."
2021-02-19,https://boxd.it/1Fd8I9,"That's crazy, I'm still a senior in high school but ill be studying cinematography and screenwriting in the fall at messiah. Were you looking into taylor's film program?"
2021-02-22,https://boxd.it/SS1i5,He was talking about the creation of earth which didn’t line up with the good dinosaur if I recall correctly
2021-03-06,https://boxd.it/1HDIkH,well said
2021-03-11,https://boxd.it/1InNWj,the yin to my yang
2021-03-11,https://boxd.it/1IpupT,wait 2021 has 365 days
2021-03-11,https://boxd.it/bpCtq,Not related to this list but I saw you watched Minari- where’d you find it?
2021-03-11,https://boxd.it/bpCtq,Gotcha. Thanks
2021-03-12,https://boxd.it/1IpG9j,who the fuck is denis lerpiss
2021-04-05,https://boxd.it/1LOAzH,I actually was hoping that they’d realize we don’t give a shit about the humans and just gave us 2 hours of the two big boys fighting
2021-04-07,https://boxd.it/1M7V1p,fuck you just described my dream job. Im 18 now and remember the blockbuster near me get torn down when i was 6 or 7. i would have loved to work there
2021-04-07,,fuck mark
2021-04-07,https://boxd.it/1MbQH9,King Schlong
2021-04-07,https://boxd.it/1MbQH9,🤤
2021-04-09,https://boxd.it/1Moy1F,@TommyD -DC Fan
2021-04-11,https://boxd.it/1MK2SL,More like boat man
2021-04-11,https://boxd.it/1MK2SL,Jason Maboata
2021-04-12,https://boxd.it/1M7Bvp,good catches my bad
2021-04-16,https://boxd.it/1NmpPB,@ianakc excellent point
2021-04-19,https://boxd.it/1NQDNT,shut the fuck up😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😏😂😂😂😂😂😂
2021-04-22,https://boxd.it/1OlizD,penis😂😂
2021-04-23,https://boxd.it/1OoERZ,Piss
2021-04-24,https://boxd.it/1M7Bvp,@Trampytrails yeah I missed that part first go around
2021-04-26,https://boxd.it/1OGGIV,Agree to disagree.
2021-04-26,https://boxd.it/1OGGIV,Bitch
2021-04-29,https://boxd.it/1Padjn,Ok
2021-04-30,https://boxd.it/Z3AxZ,@shawn bird for comedic reasons yes
2021-05-03,https://boxd.it/1PUOHt,can we be sure of that
2021-05-07,https://boxd.it/1PyoJT,more like pursuit of ha penis
2021-05-07,https://boxd.it/1QqLfP,Where'd you watch this? I can't seem to find it anywhere to rent.
2021-05-07,https://boxd.it/1QqLfP,I do not but I may have to start a free trial. I’ve been wanting to watch this for ages but can’t find it anywhere. Thanks!
2021-05-07,https://boxd.it/1QqZqH,Hello Jim we watched this on the same day at the same time what a coincidence maybe we have conjured each other to do so maybe james wan is directing our lives oh what fun that would be bye jim
2021-05-07,https://boxd.it/1QqLfP,@jay gtk. I can always use my VPN too.
2021-05-08,https://boxd.it/1QwbZJ,more like pisstopher nolan
2021-05-11,https://boxd.it/1QxOJH,thats the kid from iron man 3
2021-07-09,https://boxd.it/1YEGT1,shhhhhhhhh
2021-07-11,https://boxd.it/1Z4BiL,hary potser and the kidsey stone
2021-07-27,https://boxd.it/21ubsl,hey guys maybe stay away from this guy
2021-08-20,https://boxd.it/Z3AxZ,@reece thank you for your support🙏
2021-08-21,https://boxd.it/Z3AxZ,@vietnam cookin justice is served
2021-09-04,https://boxd.it/27617j,"Watch The Hunt for the Wilderpeople, that should change your mind"
2021-09-09,https://boxd.it/27TnFv,there's always money in the banana stand
2021-09-09,https://boxd.it/27TnFv,ive made a big mistake
2021-09-11,https://boxd.it/288VYL,i dont know what you mean
2021-09-14,https://boxd.it/28wHQ7,malig-deez nuts
2021-09-14,https://boxd.it/289zXt,shit and piss and also cum
2021-09-18,https://boxd.it/292yY1,"<a href=""http://pornhub.com"">ok</a>"
2021-09-23,https://boxd.it/292lH7,Us? 🤨📸
2021-09-25,https://boxd.it/29YNQR,how the fuck did you get that close to jake please I need to know
2021-09-25,https://boxd.it/29YBJJ,I don't think I have had a moment in tv make my jaw drop harder than the end of face off
2021-09-28,https://boxd.it/2aorCl,thanks for shoutout + ratio + wait you cant like letterboxd comments
2021-09-28,https://boxd.it/cYMv6,call me by your name - the perfect date movie
2021-09-30,https://boxd.it/284bNT,do you think katie and sean ever explored each others bodies
2021-09-30,https://boxd.it/27Ws1h,the main characters are Hobbs and Shaw is this a fast and furious movie????
2021-09-30,https://boxd.it/1WcEYf,fucking loser hasnt even had sex
2021-09-30,https://boxd.it/1W28T3,luca ma balls
2021-09-30,https://boxd.it/1UsCZz,the sound of me banging your mom
2021-09-30,https://boxd.it/1U312P,i am inside your mom
2021-10-01,https://boxd.it/293MxP,this is the only movie you havent rated 5 stars
2021-10-02,https://boxd.it/2aPGNd,"I wouldn't bother watching the danish version now. I watched it first, then the Jake version and liked the jake version less because it was essentially a carbon copy. I assume watching the danish version second will have a similar effect"
2021-10-02,https://boxd.it/2aRH7L,I prefer the 1984 sequel “The Muppets Take Manhattan” better but to each their own
2021-10-02,https://boxd.it/2aS4QJ,I am going to murder those whom you hold dearest
2021-10-06,https://boxd.it/2bwPL7,Pee Gay
2021-10-06,https://boxd.it/2bzWqV,mario can never be cancelled
2021-10-07,https://boxd.it/2bEVhj,What if...? Tony Stark was uncircumcised
2021-10-08,https://boxd.it/2bO1J7,no i totally agree
2021-10-08,,"the point of the original is that it stays inside of the operator's room. I agree, this version was a lot less interesting, but it was what they were going for."
2021-10-12,https://boxd.it/2cjDHF,somebody hasn't seen the danish original🤨
2021-10-13,https://boxd.it/1vt2m9,sounds like gary francis poste
2021-10-13,https://boxd.it/UsJ51,fart jokes still make you laugh thomas dont try and act all intelligent
2021-10-13,https://boxd.it/2cChMh,Netflix said theyre dropping info on a fincher related project tomorrow😋😋😋😋😋😋
2021-10-14,https://boxd.it/2cH4HN,Thanks for the review but I feel like you held back a little bit. A longer review would be better for next time. Thanks.
2021-10-14,https://boxd.it/1PrBhz,My mother featured in the video is a lawyer so I suppose that makes sense. How did you stumble across my video?
2021-10-15,https://boxd.it/2cPEJ7,if its a 10/10 then give it five stars coward
2021-10-15,https://boxd.it/2cSVEf,What do you prefer? “Takin the dog for a walk”?
2021-10-15,https://boxd.it/2cSVEf,Spagootle your noodle?
2021-10-15,https://boxd.it/SlbTf,Marcy are you stalking me
2021-10-15,https://boxd.it/2cUgIz,This is racist. Please delete.
2021-10-16,https://boxd.it/2cZSQr,Jason XXX
2021-10-16,https://boxd.it/2d5MNj,Eden deez nuts
2021-10-22,https://boxd.it/2aNq9n,ian brony confirmed
2021-10-22,https://boxd.it/2dYLwV,Thank you edgar
2021-10-25,https://boxd.it/2emM2Z,No time to watch movies😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
2021-10-25,https://boxd.it/2emM2Z,No more comments from you until you’ve seen at least three (3) Alfred Hitchcock movies
2021-10-25,https://boxd.it/2emM2Z,Suck my Hitchcock
2021-10-25,https://boxd.it/PMgID,u were wearing a shirt for this movie in your titanic vid today
2021-10-25,https://boxd.it/2eywZP,spoiler tag this bro
2021-10-26,https://boxd.it/2eBCoB,halloween kills feminism
2021-10-26,https://boxd.it/2eyMmf,this is my longest review ever
2021-10-26,https://boxd.it/2eBCoB,easily his worst attribute
2021-10-30,https://boxd.it/2f2KkV,@marcy im full of surprises
2021-11-02,https://boxd.it/2fKSwj,It's for you to interpret 
2021-11-02,https://boxd.it/2fKSwj,that's the beauty of film
2021-11-02,https://boxd.it/2fKSwj,🔥🔥🔥
2021-11-03,https://boxd.it/2fDoNZ,@eden walker my favorite part of that sequence is when one of the fire fighters starts spraying Michael with their water hose as if this guy didn’t just walk out of a burning house unscathed
2021-11-03,https://boxd.it/2g05gD,@marcy I’ve actually started anticipating your comments on my HP reviews. what is shocking?
2021-11-03,https://boxd.it/2g05gD,Do you have a ranking
2021-11-03,https://boxd.it/2g05gD,Yes yes
2021-11-03,https://boxd.it/2dJh0l,"Its weird that even the ""smaller scale"" stories that the mcu is telling still involve giant water dragons and ben kingsly"
2021-11-05,https://boxd.it/2fDoNZ,@marcy I think I’m done with this franchise
2021-11-05,https://boxd.it/2giHVl,Spoilers bro
2021-11-05,https://boxd.it/2giHVl,Now it is🤨
2021-11-05,https://boxd.it/2giHVl,It works
2021-11-06,https://boxd.it/2goCBd,geralds game was among us
2021-11-07,https://boxd.it/2goyh9,@marcy camping
2021-11-08,https://boxd.it/2gKIjX,Maybe🤪
2021-11-17,https://boxd.it/2i5JwJ,@dylan I was just thinking that when I saw your review🤝🤝🤝
2021-11-17,https://boxd.it/2i5JwJ,I spent the whole movie going “damn that guy looks like Michael Douglass” and then felt like a dumbass when the credits rolled
2021-11-19,https://boxd.it/2itAzR,lmao he actually did. everyone in the theatre I watched this in started clapping
2021-11-20,https://boxd.it/2iyVp9,did you check upya
2021-11-21,https://boxd.it/2hJl85,I wish marcy
2021-11-24,https://boxd.it/2j9dxd,edgar😁😁😁
2021-12-04,https://boxd.it/2kGWGT,if hes not now hes about to be
2021-12-10,https://boxd.it/2lxC1H,yea🥺😖
2021-12-11,,"i think they purposefully kept it at 5 villains here so that they can save the sinister six for the end of the college trilogy. of course this is going to have a ton of fan service, but i probably wont mind it. i just hope the multiverse shit stops at MOM otherwise it'll feel too gimmicky"
2021-12-12,https://boxd.it/2lQX67,@marcy there’s only one and it’s 30 minutes. I’m gonna stick to feature length stuff for the sake of my own sanity.
2021-12-12,https://boxd.it/2lQX67,There’s a TV show too
2021-12-12,https://boxd.it/ekL9m,Fan behavior
2021-12-12,https://boxd.it/2lXh01,Technically this is only the first movie I’ve watched today
2021-12-12,https://boxd.it/2lXh01,But yes I did watch 7 yesterday
2021-12-13,https://boxd.it/2m3Pet,@freshbricks yes! That’ll be later tonight after I spend some much needed time on homework😉
2021-12-13,https://boxd.it/2m7eUP,godspeed!
2021-12-13,https://boxd.it/2m7wlD,marcy im not going to respond if you continue to comment without liking
2021-12-13,https://boxd.it/2m7wlD,I did mention his thwiping but yes
2021-12-13,https://boxd.it/2m7wlD,Although TASM 2 is better
2021-12-13,https://boxd.it/2m7wlD,I have a lot of thoughts on TASM I’ll write that review later tonight (shameless plug)
2021-12-14,https://boxd.it/2mbsiX,She makes her debut
2021-12-14,https://boxd.it/2meWsp,where did you find this to watch mr. tom
2021-12-14,https://boxd.it/2mePCR,can you make a tiktok of you dancing like fantastic Mr fox characters
2021-12-14,https://boxd.it/2meWsp,Yeah I don’t have that fuck you
2021-12-18,https://boxd.it/2mRJOP,"@marcy lmao you’re fine, reviews are more of a way for me to catalogue and organize my thoughts than anything else."
2021-12-22,https://boxd.it/2ntFZb,@adam would you say this doc is a proper representation of his work?
2021-12-22,https://boxd.it/2ntFZb,@adam fair enough. Perhaps I’ll check something else from him if the topic interests me enough
2021-12-23,https://boxd.it/2nO7MJ,Cum and see
2021-12-25,https://boxd.it/2o6sO3,me after watching the change-up
2021-12-25,https://boxd.it/2oezI3,my prayers go out to eric
2021-12-25,https://boxd.it/2ojFpV,5 starts
2021-12-26,https://boxd.it/2oz7Nr,Great review. We said the exact same things yet you rated it higher. How 'bout that.
2021-12-28,https://boxd.it/2oLyCp,@emilie you have never liked this movie your opinion is invalid
2022-01-11,,ngl thought my name was gonna be in this review
2022-01-11,,Fuck I jinxed it
2022-01-12,https://boxd.it/c7R78,i disagree
2022-01-13,https://boxd.it/2sUGnB,we should watch a studio ghibli movie when i come visit pitt
2022-01-13,https://boxd.it/2sUGnB,Perfect
2022-01-13,https://boxd.it/2tlTtV,"thanks, i try my best"
2022-01-14,https://boxd.it/2tyh6l,legend has it you can see the tip go in during the sex scene if you watch it in imax
2022-01-14,https://boxd.it/2tz4GH,"no, you don't"
2022-01-14,https://boxd.it/2tEkVN,Yassss shawty be writin essays
2022-01-14,https://boxd.it/2tEfa3,"It’s been 3 months will. I think you need to let your grudge free, guy"
2022-01-19,https://boxd.it/2uwRXP,sigma steve
2022-01-20,https://boxd.it/2v3eFN,Solid review
2022-01-20,https://boxd.it/2v747p,nah.
2022-01-21,https://boxd.it/2viDl9,"I think the one-shot style allows for some beautiful and clever cinematography, but I agree it does act as a restriction in many cases and leads to some boring moments here or there."
2022-01-22,https://boxd.it/2voCg5,Marcy how many times have you watched this
2022-01-23,https://boxd.it/2vJD9h,Next trip idea?
2022-01-24,https://boxd.it/2vZHyH,inescapability and depictions of hell in cinema terrify me. this is the scariest movie I've ever seen.
2022-01-25,https://boxd.it/2w8HRx,"This came out in June of 2020, I think the ties to covid are purely coincidental"
2022-01-25,https://boxd.it/2w8HRx,😳😳
2022-01-25,https://boxd.it/2wcMxZ,one star for everytime you jacked off to judy hops while watching
2022-01-25,https://boxd.it/1uWrnl,this is racist
2022-01-27,https://boxd.it/2wpOth,By one of my favorite directors!
2022-01-27,https://boxd.it/2wvMhv,@marcy Dumb and Dumber to
2022-01-29,,The Peanis Movie
2022-01-31,https://boxd.it/2xf34j,Marcy that is one of the many questions I have been unable to answer recently
2022-01-31,https://boxd.it/2xg8jZ,solid review my thoughts exactly
2022-02-07,https://boxd.it/2yD02B,Marcy this came out in 2002 I can’t tell if you’re joshing
2022-02-08,https://boxd.it/2yD02B,Just guys being dudes
2022-02-09,https://boxd.it/2ySdc5,gerald's game was among us
2022-02-09,https://boxd.it/2xA6iv,"they put a mask on willem dafoe, the most expressive man in Hollywood besides maybe jim carrey"
2022-02-09,https://boxd.it/2xABop,ha ha its okay mere we all forget sometimes but uh i think you forgot an extra star ha ha 
